Case_Act,QMSITEID,StudyName,StudyID,AREADESC,sta_site,STADESC,STATGRPLST,CollMatrix,CollForm,WKSPCNAME,DataClass,DataSource,srctype,sharestat,Workgroup,Workplan,source,loc_geom,legend_tex,map_index,startlat,startlong,endlat,endlong
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG1,PTG1F000136,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.927565 59.3552175),Tissue,1,59.3552175,-151.927565, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG1,PTG1F000137,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.927565 59.3552175),Tissue,1,59.3552175,-151.927565, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG1,PTG1F000475,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.927565 59.3552175),Tissue,1,59.3552175,-151.927565, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG1,PTG1F000476,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.927565 59.3552175),Tissue,1,59.3552175,-151.927565, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG1,PTG1F000477,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.927565 59.3552175),Tissue,1,59.3552175,-151.927565, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG1,PTG1F000478,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.927565 59.3552175),Tissue,1,59.3552175,-151.927565, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG1,PTG1F20_21,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.927565 59.3552175),Tissue,1,59.3552175,-151.927565, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG4,PTG4F000033,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.8166492 59.3456994),Tissue,1,59.3456994,-151.8166492, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG4,PTG4F000034,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.8166492 59.3456994),Tissue,1,59.3456994,-151.8166492, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG4,PTG4F000121,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.8166492 59.3456994),Tissue,1,59.3456994,-151.8166492, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG4,PTG4F000122,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.8166492 59.3456994),Tissue,1,59.3456994,-151.8166492, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTG4,PTG4F000123,Port Graham/English,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.8166492 59.3456994),Tissue,1,59.3456994,-151.8166492, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000063,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000064,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000065,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000228,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000229,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000230,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000231,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000514,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000515,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000518,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL1,PTL1F000519,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8387915 57.87918172),Tissue,1,57.87918172,-152.8387915, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL2,PTL2F000066,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.9005714 57.82243626),Tissue,1,57.82243626,-152.9005714, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL2,PTL2F000067,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.9005714 57.82243626),Tissue,1,57.82243626,-152.9005714, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL2,PTL2F000068,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.9005714 57.82243626),Tissue,1,57.82243626,-152.9005714, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL2,PTL2F000232,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.9005714 57.82243626),Tissue,1,57.82243626,-152.9005714, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL2,PTL2F000233,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.9005714 57.82243626),Tissue,1,57.82243626,-152.9005714, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL4,PTL4F000235,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8505965 57.83626443),Tissue,1,57.83626443,-152.8505965, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL4,PTL4F000581,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8505965 57.83626443),Tissue,1,57.83626443,-152.8505965, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL4,PTL4F71_72,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8505965 57.83626443),Tissue,1,57.83626443,-152.8505965, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,PTL5,PTL5F000073,Port Lions,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-152.8482355 57.8741599),Tissue,1,57.8741599,-152.8482355, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT1,TAT1F1_2_3,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.7756578 60.88455497),Tissue,1,60.88455497,-146.7756578, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT5,TAT5F000156,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.6935461 60.71211367),Tissue,1,60.71211367,-146.6935461, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT5,TAT5F000157,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.6935461 60.71211367),Tissue,1,60.71211367,-146.6935461, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT5,TAT5F000158,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.6935461 60.71211367),Tissue,1,60.71211367,-146.6935461, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT5,TAT5F000159,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.6935461 60.71211367),Tissue,1,60.71211367,-146.6935461, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT5,TAT5F000420,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.6935461 60.71211367),Tissue,1,60.71211367,-146.6935461, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT5,TAT5F000421,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.6935461 60.71211367),Tissue,1,60.71211367,-146.6935461, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT5,TAT5F000422,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.6935461 60.71211367),Tissue,1,60.71211367,-146.6935461, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,TAT5,TAT5F000423,Tatitlek,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-146.6935461 60.71211367),Tissue,1,60.71211367,-146.6935461, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,WNB1,WNB1F000035,Windy Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.5333591 59.2267497),Tissue,1,59.2267497,-151.5333591, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,WNB1,WNB1F000036,Windy Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.5333591 59.2267497),Tissue,1,59.2267497,-151.5333591, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,WNB1,WNB1F000037,Windy Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.5333591 59.2267497),Tissue,1,59.2267497,-151.5333591, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,WNB1,WNB1F000490,Windy Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.5333591 59.2267497),Tissue,1,59.2267497,-151.5333591, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,WNB1,WNB1F000491,Windy Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.5333591 59.2267497),Tissue,1,59.2267497,-151.5333591, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,WNB1,WNB1F000492,Windy Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.5333591 59.2267497),Tissue,1,59.2267497,-151.5333591, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1989,A0,WNB2,WNB2F000038,Windy Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.5527152 59.23011295),Tissue,1,59.23011295,-151.5527152, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-10S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-2,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-2S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-3,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-3S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-4,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-4S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-5,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-5S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-6,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-6S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-7S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-8S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH3,AKH3-9S,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1654605 56.94300693),Tissue,1,56.94300693,-154.1654605, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH6,AKH6-1401,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1224554 56.96875098),Tissue,1,56.96875098,-154.1224554, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH6,AKH6-1402,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1224554 56.96875098),Tissue,1,56.96875098,-154.1224554, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH6,AKH6-1403,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1224554 56.96875098),Tissue,1,56.96875098,-154.1224554, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,AKH6,AKH6-1404,Akhiok,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-154.1224554 56.96875098),Tissue,1,56.96875098,-154.1224554, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-799,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-800,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-801,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-802,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-803,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-804,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-805,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-806,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-807,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-808,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-809,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,BED1,BED1-810,Point Bede,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-151.9915505 59.30900421),Tissue,1,59.30900421,-151.9915505, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,CB4,CB4-1,Chenega Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-148.055323 60.05432073),Tissue,1,60.05432073,-148.055323, , 
Arctic/Alaska,1096,NOAA EVOS Subsistence Invertebrate 1990,A1,CB4,CB4-3,Chenega Bay,Alaska/Arctic,Tissue,NOAA Posted Database,Not Defined,Not Defined,NOAA,NOAA Posted Database,Publicly Available,Not Defined,Not Defined,Samples,POINT(-148.055323 60.05432073),Tissue,1,60.05432073,-148.055323, , 
