Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,(...),Study_name_clean,Study_name_cleaner
Diver,NOAA Southwest Alaska Nearshore Monitoring 2007,2007,2.112,58.2569,-154.1977,Mussel,Mytilus,mussel,Bivalvia,Mussels,Background biomonitoring,1096-08-SS2007KAFBMT,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,molluscs,NOAA Southwest Alaska Nearshore Monitoring,NOAA Regional Studies
Diver,Mussel Watch:Alaska 2007,2007,5.52199,58.25694,-154.19769,Mussel,Mytilus,mussel,Bivalvia,Mussels,Background biomonitoring,MWAK-22-2007KAFB1MS_MS,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,molluscs,NOAA Mussel Watch,NOAA Mussel Watch
Diver,NOAA Southwest Alaska Nearshore Monitoring 2007,2007,2.58,58.3166,-154.2066,Mussel,Mytilus,mussel,Bivalvia,Mussels,Background biomonitoring,1096-08-SS2007KUKBMT,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,molluscs,NOAA Southwest Alaska Nearshore Monitoring,NOAA Regional Studies
Diver,Mussel Watch:Alaska 2007,2007,6.51595,58.31658,-154.20658,Mussel,Mytilus,mussel,Bivalvia,Mussels,Background biomonitoring,MWAK-22-2007KUKB1MS_MS,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,molluscs,NOAA Mussel Watch,NOAA Mussel Watch
Diver,NOAA Southwest Alaska Nearshore Monitoring 2007,2007,4.455,58.4515,-154.0143,Mussel,Mytilus,mussel,Bivalvia,Mussels,Background biomonitoring,1096-08-SS2007CINIMT,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,molluscs,NOAA Southwest Alaska Nearshore Monitoring,NOAA Regional Studies
Diver,NOAA AKMAP Special Study 2007,2007,13.64,51.7852,-176.7553,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007AIBIME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA AKMAP Special Study 2007,2007,220.014,51.8623,-176.6385,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007AISWME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA AKMAP Special Study 2007,2007,12.264,51.8274,-176.1508,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007TICBME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA AKMAP Special Study 2007,2007,10.71,51.8661,-176.1536,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007TIMPME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA AKMAP Special Study 2007,2007,10.908,52.1404,-174.6029,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007AIDBME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA AKMAP Special Study 2007,2007,11.186,52.2251,-174.1602,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007AINBME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
Diver,NOAA AKMAP Special Study 2007,2007,42.75,53.4094,-167.5232,Blue Mussel,Mytilus edulis,mussel,Bivalvia,Mussels,Background biomonitoring,1096-10-SS2007UIMCME,,ng/g,wet,Provided,Whole Body,1,1,CALC_018,,,,mussel,NOAA AKMAP Special Study,NOAA Regional Studies
