Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,(...),Study_name_clean,Study_name_cleaner
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-001,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-002,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-003,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-004,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-005,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-006,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-007,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-008,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-009,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-010,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-011,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-012,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-013,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-014,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-015,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-016,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-017,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-018,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-019,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-020,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-021,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-022,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-023,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-024,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-025,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-026,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0,70.47815,-150.77848,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-027,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study
