Study	NST_Site	General_Location	Specific_Location	Sample_ID	Latitude	Longitude	Fiscal_Year	Collection_Date	Matrix	Scientific_Name	Method	Parameter	Value	Qualifier	Unit	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Fluoranthenes_Pyrenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Fluorenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Naphthalenes	6.59		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Naphthobenzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Benzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Chrysenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Decalin	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Dibenzo[a,h]anthracene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Dibenzothiophenes	10.2		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Fluoranthenes_Pyrenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Fluorenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Naphthalenes	7.56	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Naphthobenzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C29-Hopane	111		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Benzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Chrysenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Decalin	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Dibenzo[a,h]anthracene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Dibenzothiophenes	1.66		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Fluoranthenes_Pyrenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Fluorenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Naphthalenes	6.23	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Naphthobenzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C3-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C30-Hopane	96.4		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C4-Benzothiophenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C4-Chrysenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C4-Decalin	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C4-Dibenzothiophenes	2.61		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C4-Fluoranthenes_Pyrenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C4-Naphthalenes	12.6	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C4-Naphthobenzothiophenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C4-Phenanthrenes_Anthracenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Carbazole	5.14		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Chrysene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Cis_Trans Decalin	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Dibenzo[a,h]anthracene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Dibenzofuran	4.46		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Dibenzothiophene	0.853		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Fluoranthene	0.744	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Fluorene	1.95		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Indeno[1,2,3-c,d]pyrene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Naphthalene	12.1	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Naphthobenzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Perylene	1.29	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Phenanthrene	3.93		ng/dry g	
Kachemak Bay Bioeffects	CICB	Cook Inlet	Chrome Bay	BA2009CICBME	59.20715	-151.81512	2009	8/7/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Pyrene	0.52	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	1,6,7-Trimethylnaphthalene	1.93	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	1-Methylnaphthalene	4.74		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	1-Methylphenanthrene	0.979	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	18a-Oleanane	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	2,6-Dimethylnaphthalene	4.11		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	2-Methylnaphthalene	7.86		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Acenaphthene	141		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Acenaphthylene	0.835	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Anthracene	1.08		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Benz[a]anthracene	0.966		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Benzo[a]pyrene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Benzo[b]fluoranthene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Benzo[e]pyrene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Benzo[g,h,i]perylene	1.2		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Benzo[k]fluoranthene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Benzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	Biphenyl	9.07		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Benzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Chrysenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Decalin	31.6		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Dibenzo[a,h]anthracene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Dibenzothiophenes	3.43		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Fluoranthenes_Pyrenes	9.07		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Fluorenes	2.52	Below the MDL	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Naphthalenes	8.52		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Naphthobenzothiophene	3.4		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C1-Phenanthrenes_Anthracenes	2.81		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Benzothiophene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Chrysenes	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Decalin	37.4		ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Dibenzo[a,h]anthracene	0	Not detected	ng/dry g	
Kachemak Bay Bioeffects	KBTB	Kachemak Bay	Tutka Bay	BA2009KBTBME	59.42355	-151.31118	2009	8/6/2009 12:00:00 AM	Mussel	Mytilus edulis	PAH-2010	C2-Dibenzothiophenes	9.28		ng/dry g	
