COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg
KLAWOCK,15878.845186559472,372.27272727272725,14326.530612244898
KLUKWAN,1929.418205377389,0,736.5079365079365
KNIK RIVER,114.375,0,0
KOBUK,5620.575,0,0
KODIAK,72478.17470624614,345.54545454545456,37447.16553287982
KOKHANOK,31773.929004935308,0,146.48526077097503
KOLIGANEK,18477.867772108842,0,0
KONGIGANAK,16610.849103277673,343.6363636363636,0
KOTLIK,35838.26190476191,5761.9047619047615,0
KOTZEBUE,45044.614795918365,6245.909090909091,327.891156462585
KOYUK,12671.8,5802,0
KOYUKUK,14819.54361744698,0,0
KWETHLUK,102943.6998015873,0,4.988662131519274
KWIGILLINGOK,888.6970172684458,332.3076923076923,0
LAKE LOUISE,290.25,0,0
LAKE MINCHUMINA,1475.4760285066407,0,0
LARSEN BAY,2722.149983803045,31.333333333333332,2776.039304610733
LEVELOCK,4962.465496804783,1825,38.321995464852606
LIME VILLAGE,7020.93567649282,0,0
LOWER KALSKAG,33585.56578947369,0,0
MANLEY HOT SPRINGS,27162.306941295035,0,0
MANOKOTAK,11883.778396206968,2248.6363636363635,1073.4693877551022
MARSHALL,37529.04257999496,0,0
MCCARTHY,484.97058823529414,0,0
MCGRATH,13348.763157894737,0,0
MCKINLEY PARK,39.375,0,0
MEADOW LAKES,419.5833333333333,0,0
MEKORYUK,2669.0719954648525,351,0
MENDELTNA,305.5,0,0
MENTASTA LAKE,929.391050170068,0,389.1156462585034
METLAKATLA,2818.5066833751043,0,0
MEYERS CHUCK,305.0095371481926,0,0
MINTO,9323.402027477658,0,0
MOOSE CREEK,75.58333333333333,0,0
MOOSE PASS,154.59615384615384,0,0
MOUNTAIN VILLAGE,51912.04440665155,0,0
NABESNA,190.85714285714286,0,0
NAKNEK,24078.762497423213,525,1001.360544217687
NANWALEK,8576.435062358276,0,1483.068783068783
NAPAKIAK,42257.669784580496,0,0
NAPASKIAK,64766.25,0,0
NAUKATI BAY,849.5144242882338,0,3560.9977324263036
NELCHINA,273.4166666666667,0,0
NELSON LAGOON,1320.092105263158,39.473684210526315,0
NENANA,51811.238512949036,0,0
NEW STUYAHOK,45603.60643424036,0,39.909297052154194
NEWHALEN,11374.637154861945,226.47058823529412,187.07482993197277
NEWTOK,881.2354875283446,109,0
NIGHTMUTE,1846.06021218011,0,0
NIKISKI,464.8812358276644,0,0
NIKOLAEVSK,348.702947845805,0,404.53514739229024
NIKOLAI,5223.248746867168,0,2.7210884353741496
NIKOLSKI,525.3968253968254,0,92.06349206349206
NINILCHIK,1209.9795378468848,12,5368.253968253968
NOATAK,12954.735914878773,0,15.64625850340136
NOME,18047.461167800455,4088.181818181818,0
NONDALTON,25282.12509448224,0,29.47845804988662
NOORVIK,27431.25,0,0
NORTH POLE,32257.67105263158,0,0
NORTHWAY,1864.8832199546484,0,0
NUCHEK,0,149.33333333333334,0
NUIQSUT,5797.278911564626,471.42857142857144,0
NULATO,41339.71308893928,0,0
NUNAM IQUA,10993.2,3300,0
NUNAPITCHUK,60943.02695893172,0,0
OLD HARBOR,3896.080498866213,52.81818181818182,2768.405139833711
OLIKTOK LRRS AIRPORT,43.75,0,0
OSCARVILLE,16486.76894617496,0,0
