COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg
DRY CREEK,720.1788548752834,0,0,63.6266379,-144.639194,720.1788548752834
EAGLE,39787.772242230225,0,0,64.7801166,-141.1933195,39787.772242230225
EDNA BAY,970.1384164777022,0,392.29024943310657,55.9756602,-133.6843649,1362.4286659108088
EEK,25147.860571212612,576.1904761904761,0,60.2140502,-162.0304829,25724.05104740309
EGEGIK,6223.347222222223,121.66666666666667,0,58.2051475,-157.5219777,6345.01388888889
EIELSON AFB,7452.118421052632,0,0,64.6641007,-147.0362969,7452.118421052632
EKLUTNA,29.25,0,0,61.37226,-149.03067,29.25
EKUK,356.8,0,0,58.81499,-158.55768,356.8
EKWOK,12726.359375,0,0,59.3456639,-157.4880056,12726.359375
ELFIN COVE,303.43959041950114,0,0,58.1911751,-136.3125245,303.43959041950114
ELIM,14418.920454545454,9060.90909090909,0,64.6183851,-162.2733864,23479.829545454544
ELLAMAR,175.75,0,0,60.89556,-146.6975,175.75
EMMONAK,50277.86842105263,10333.157894736842,0,62.7854145,-164.5524485,60611.02631578947
ESTER,2435.8577947845806,0,0,64.8790528,-148.0411591,2435.8577947845806
EVANSVILLE,244.44444444444443,0,0,66.9329734,-151.3689287,244.44444444444443
EXCURSION INLET,240.5,0,0,58.4145647,-135.3457114,240.5
FAIRBANKS,120836.86103012634,83.14285714285714,0,64.8365307,-147.6517447,120920.0038872692
FALSE PASS,3340.546626984127,0,0,54.8724411,-163.3342679,3340.546626984127
FORT GREELY,430.09375,0,0,63.8997943,-145.5935877,430.09375
FORT YUKON,54032.19201013739,0,0,66.5876075,-145.2291919,54032.19201013739
FOX,122.875,0,0,64.9750541,-147.6088374,122.875
FRITZ CREEK,274.54280045351476,0,1482.0861678004535,59.7468194,-151.2887076,1756.6289682539682
GAKONA,13792.894736842105,0,0,62.3607819,-145.2656691,13792.894736842105
GALENA,49082.24546485261,0,94.33106575963718,64.7399521,-156.8739688,49176.57653061225
GAMBELL,402.6156462585034,273925.71428571426,0,63.7772011,-171.7257101,274328.3299319728
GAME CREEK,541.4965986394558,0,1063.9455782312925,58.0501048,-135.5125475,1605.4421768707484
GLENNALLEN,23810.934210526317,0,0,62.1465811,-145.8004787,23810.934210526317
GOLOVIN,8655.28947368421,723.6842105263158,0,64.5636669,-163.0010031,9378.973684210527
GOODNEWS BAY,11356.566666666666,108,0,59.1287126,-161.5756562,11464.566666666666
GRAYLING,43198.180272108846,0,0,62.8954429,-160.1117924,43198.180272108846
GULKANA,1756.75,0,0,62.2151827,-145.4448865,1756.75
GUSTAVUS,1682.3726615646258,0,0,58.4224035,-135.7630345,1682.3726615646258
HAINES,39226.31054421769,0,10477.097505668933,59.2608681,-135.472371,49703.408049886624
HALIBUT COVE,47.25,0,0,59.5736718,-151.2241924,47.25
HEALY,8583.578947368422,0,0,63.9598057,-148.9704796,8583.578947368422
